Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://download.gimp.org/	200	ok	text/html	2919	Index of /		0	20	28	nginx/1.20.1		00:00.467	utf-8	
https://download.gimp.org/?C=N&O=A	200	ok	text/html	2919	Index of /		1	20	7	nginx/1.20.1		00:00.173	utf-8	
https://download.gimp.org/?C=N&O=D	200	ok	text/html	3087	Index of /		1	20	21	nginx/1.20.1		00:00.147	utf-8	
https://download.gimp.org/?C=S&O=A	200	ok	text/html	3087	Index of /		1	20	21	nginx/1.20.1		00:00.135	utf-8	
https://download.gimp.org/?C=S&O=D	200	ok	text/html	3087	Index of /		1	20	21	nginx/1.20.1		00:00.128	utf-8	
https://download.gimp.org/?C=M&O=A	200	ok	text/html	3087	Index of /		1	20	21	nginx/1.20.1		00:00.145	utf-8	
https://download.gimp.org/?C=M&O=D	200	ok	text/html	3087	Index of /		1	20	21	nginx/1.20.1		00:00.116	utf-8	
https://download.gimp.org/babl/	200	ok	text/html	1540	Index of /babl/		1	10	6	nginx/1.20.1		00:00.102	utf-8	
https://download.gimp.org/beast/	200	ok	text/html	2087	Index of /beast/		1	14	16	nginx/1.20.1		00:00.104	utf-8	
https://download.gimp.org/csl/	200	ok	text/html	1662	Index of /csl/		1	10	2	nginx/1.20.1		00:00.102	utf-8	
https://download.gimp.org/gegl/	200	ok	text/html	1930	Index of /gegl/		1	13	12	nginx/1.20.1		00:00.102	utf-8	
https://download.gimp.org/gegl-gtk/	200	ok	text/html	1417	Index of /gegl-gtk/		1	9	4	nginx/1.20.1		00:00.108	utf-8	
https://download.gimp.org/gegl-qt/	200	ok	text/html	1415	Index of /gegl-qt/		1	9	4	nginx/1.20.1		00:00.115	utf-8	
https://download.gimp.org/gimp/	200	ok	text/html	5102	Index of /gimp/		1	36	58	nginx/1.20.1		00:00.131	utf-8	
https://download.gimp.org/glib/	200	ok	text/html	4474	Index of /glib/		1	32	50	nginx/1.20.1		00:00.150	utf-8	
https://download.gimp.org/gtk/	200	ok	text/html	8558	Index of /gtk/		1	62	110	nginx/1.20.1		00:00.178	utf-8	
https://download.gimp.org/gtk-doc/	200	ok	text/html	3499	Index of /gtk-doc/		1	20	2	nginx/1.20.1		00:00.110	utf-8	
https://download.gimp.org/pango/	200	ok	text/html	2612	Index of /pango/		1	18	22	nginx/1.20.1		00:00.113	utf-8	
https://download.gimp.org/rapicorn/	200	ok	text/html	1280	Index of /rapicorn/		1	8	4	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/sfk/	200	ok	text/html	1137	Index of /sfk/		1	7	2	nginx/1.20.1		00:00.105	utf-8	
https://download.gimp.org/users/	200	ok	text/html	2891	Index of /users/		1	20	28	nginx/1.20.1		00:00.110	utf-8	
https://download.gimp.org/users/?C=N&O=D	200	ok	text/html	3059	Index of /users/		2	20	21	nginx/1.20.1		00:00.111	utf-8	
https://download.gimp.org/sfk/?C=N&O=D	200	ok	text/html	1149	Index of /sfk/		2	7	8	nginx/1.20.1		00:00.101	utf-8	
https://download.gimp.org/rapicorn/?C=N&O=D	200	ok	text/html	1304	Index of /rapicorn/		2	8	9	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/pango/?C=N&O=D	200	ok	text/html	2744	Index of /pango/		2	18	18	nginx/1.20.1		00:00.112	utf-8	
https://download.gimp.org/gtk-doc/?C=N&O=D	200	ok	text/html	3511	Index of /gtk-doc/		2	20	8	nginx/1.20.1		00:00.111	utf-8	
https://download.gimp.org/gtk/?C=N&O=D	200	ok	text/html	9218	Index of /gtk/		2	62	62	nginx/1.20.1		00:00.148	utf-8	
https://download.gimp.org/glib/?C=N&O=D	200	ok	text/html	4774	Index of /glib/		2	32	32	nginx/1.20.1		00:00.113	utf-8	
https://download.gimp.org/gimp/?C=N&O=D	200	ok	text/html	5450	Index of /gimp/		2	36	36	nginx/1.20.1		00:00.111	utf-8	
https://download.gimp.org/gegl-qt/?C=N&O=D	200	ok	text/html	1439	Index of /gegl-qt/		2	9	9	nginx/1.20.1		00:00.100	utf-8	
https://download.gimp.org/gegl-gtk/?C=N&O=D	200	ok	text/html	1441	Index of /gegl-gtk/		2	9	9	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/gegl/?C=N&O=D	200	ok	text/html	2002	Index of /gegl/		2	13	13	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/csl/?C=N&O=D	200	ok	text/html	1674	Index of /csl/		2	10	8	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/beast/?C=N&O=D	200	ok	text/html	2183	Index of /beast/		2	14	15	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/babl/?C=N&O=D	200	ok	text/html	1576	Index of /babl/		2	10	10	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/sfk/?C=S&O=A	200	ok	text/html	1149	Index of /sfk/		2	7	8	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/rapicorn/?C=S&O=A	200	ok	text/html	1304	Index of /rapicorn/		2	8	9	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/gegl-gtk/?C=S&O=A	200	ok	text/html	1441	Index of /gegl-gtk/		2	9	9	nginx/1.20.1		00:00.100	utf-8	
https://download.gimp.org/gegl-qt/?C=S&O=A	200	ok	text/html	1439	Index of /gegl-qt/		2	9	9	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/babl/?C=S&O=A	200	ok	text/html	1576	Index of /babl/		2	10	10	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/gegl/?C=S&O=A	200	ok	text/html	2002	Index of /gegl/		2	13	13	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/csl/?C=S&O=A	200	ok	text/html	1674	Index of /csl/		2	10	8	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/beast/?C=S&O=A	200	ok	text/html	2183	Index of /beast/		2	14	15	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/pango/?C=S&O=A	200	ok	text/html	2744	Index of /pango/		2	18	18	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/users/?C=S&O=A	200	ok	text/html	3059	Index of /users/		2	20	21	nginx/1.20.1		00:00.155	utf-8	
https://download.gimp.org/gimp/?C=S&O=A	200	ok	text/html	5450	Index of /gimp/		2	36	36	nginx/1.20.1		00:00.108	utf-8	
https://download.gimp.org/glib/?C=S&O=A	200	ok	text/html	4774	Index of /glib/		2	32	32	nginx/1.20.1		00:00.114	utf-8	
https://download.gimp.org/gtk-doc/?C=S&O=A	200	ok	text/html	3511	Index of /gtk-doc/		2	20	8	nginx/1.20.1		00:00.106	utf-8	
https://download.gimp.org/gtk/?C=S&O=A	200	ok	text/html	9218	Index of /gtk/		2	62	62	nginx/1.20.1		00:00.115	utf-8	
https://download.gimp.org/gimp/?C=S&O=D	200	ok	text/html	5450	Index of /gimp/		2	36	36	nginx/1.20.1		00:00.139	utf-8	
https://download.gimp.org/glib/?C=S&O=D	200	ok	text/html	4774	Index of /glib/		2	32	32	nginx/1.20.1		00:00.118	utf-8	
https://download.gimp.org/gtk-doc/?C=S&O=D	200	ok	text/html	3511	Index of /gtk-doc/		2	20	8	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/gtk/?C=S&O=D	200	ok	text/html	9218	Index of /gtk/		2	62	62	nginx/1.20.1		00:00.134	utf-8	
https://download.gimp.org/users/?C=S&O=D	200	ok	text/html	3059	Index of /users/		2	20	21	nginx/1.20.1		00:00.133	utf-8	
https://download.gimp.org/pango/?C=S&O=D	200	ok	text/html	2744	Index of /pango/		2	18	18	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/beast/?C=S&O=D	200	ok	text/html	2183	Index of /beast/		2	14	15	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/csl/?C=S&O=D	200	ok	text/html	1674	Index of /csl/		2	10	8	nginx/1.20.1		00:00.102	utf-8	
https://download.gimp.org/gegl/?C=S&O=D	200	ok	text/html	2002	Index of /gegl/		2	13	13	nginx/1.20.1		00:00.100	utf-8	
